village_code,village_name,latitude,longitude,population,vulnerable_population,road_access,hospital_distance,shelter_capacity,available_water,food_stock,medical_capacity,rainfall,river_level,flood_history,building_damage,water_level,hazard_score,safe_capacity,capacity_ratio,relocation_score,risk_level,capacity_status,relocation_priority
160741,Kasimpur Jharha,25.616286,81.630251,311,74,2,25.0,500,20000,20000,0,111.8241,8.9514,3,0,9.5307,57.5038,3200.0,0.0972,26.5925,MEDIUM,SAFE,LOW
160741,Kasimpur Jharha,25.616286,81.630251,311,74,2,25.0,500,20000,20000,0,228.917,9.823,3,4,3.851,78.1385,3200.0,0.0972,45.8283,CRITICAL,SAFE,MEDIUM
160741,Kasimpur Jharha,25.616286,81.630251,311,74,2,25.0,500,20000,20000,0,67.7971,6.0112,5,1,9.3002,54.0753,3200.0,0.0972,36.165,MEDIUM,SAFE,MEDIUM
160741,Kasimpur Jharha,25.616286,81.630251,311,74,2,25.0,500,20000,20000,0,101.6655,3.6576,1,0,8.4867,36.3602,3200.0,0.0972,21.5222,LOW,SAFE,LOW
160741,Kasimpur Jharha,25.616286,81.630251,311,74,2,25.0,500,20000,20000,0,221.128,3.6686,1,2,2.5621,44.8109,3200.0,0.0972,28.1919,LOW,SAFE,LOW
160742,Patana Uparhar,25.609712,81.638156,1168,674,2,30.0,2010,20000,20000,0,2.0739,6.651,3,0,0.7094,38.4844,3804.0,0.307,29.9142,LOW,SAFE,LOW
160742,Patana Uparhar,25.609712,81.638156,1168,674,2,30.0,2010,20000,20000,0,354.6469,1.2486,1,1,4.3847,52.2209,3804.0,0.307,41.315,LOW,SAFE,MEDIUM
160742,Patana Uparhar,25.609712,81.638156,1168,674,2,30.0,2010,20000,20000,0,62.0166,9.8366,5,1,8.604,73.8872,3804.0,0.307,41.7912,HIGH,SAFE,MEDIUM
160742,Patana Uparhar,25.609712,81.638156,1168,674,2,30.0,2010,20000,20000,0,130.6605,8.4508,3,3,9.6525,82.7364,3804.0,0.307,52.7803,CRITICAL,SAFE,MEDIUM
160742,Patana Uparhar,25.609712,81.638156,1168,674,2,30.0,2010,20000,20000,0,77.752,4.7022,2,3,1.3275,53.6755,3804.0,0.307,38.0697,MEDIUM,SAFE,MEDIUM
160743,Syampur,25.612906,81.629753,280,52,2,30.0,550,20000,5000,0,173.4083,7.6964,1,4,1.8433,60.4131,1720.0,0.1628,33.6592,MEDIUM,SAFE,MEDIUM
160743,Syampur,25.612906,81.629753,280,52,2,30.0,550,20000,5000,0,275.4,1.5237,1,0,4.4235,37.5629,1720.0,0.1628,22.9308,LOW,SAFE,LOW
160743,Syampur,25.612906,81.629753,280,52,2,30.0,550,20000,5000,0,73.1464,9.4115,0,4,7.379,66.8909,1720.0,0.1628,43.1121,HIGH,SAFE,MEDIUM
160743,Syampur,25.612906,81.629753,280,52,2,30.0,550,20000,5000,0,167.84,3.2296,2,4,1.2016,52.2431,1720.0,0.1628,31.821,LOW,SAFE,MEDIUM
160743,Syampur,25.612906,81.629753,280,52,2,30.0,550,20000,5000,0,37.6628,3.8027,5,3,1.7533,51.7007,1720.0,0.1628,34.8226,LOW,SAFE,MEDIUM
160744,Akhayrajpur Uprhar,25.611702,81.612339,956,559,2,30.0,1840,20000,5000,0,185.8695,6.848,1,1,9.4915,59.5246,2236.0,0.4275,44.8029,MEDIUM,SAFE,MEDIUM
160744,Akhayrajpur Uprhar,25.611702,81.612339,956,559,2,30.0,1840,20000,5000,0,6.1218,9.4009,0,4,6.8396,63.0663,2236.0,0.4275,47.4274,MEDIUM,SAFE,MEDIUM
160744,Akhayrajpur Uprhar,25.611702,81.612339,956,559,2,30.0,1840,20000,5000,0,377.7006,8.8048,2,3,5.7547,95.7305,2236.0,0.4275,55.0639,CRITICAL,SAFE,MEDIUM
160744,Akhayrajpur Uprhar,25.611702,81.612339,956,559,2,30.0,1840,20000,5000,0,183.3012,5.9106,4,3,3.861,76.2482,2236.0,0.4275,48.6429,CRITICAL,SAFE,MEDIUM
160744,Akhayrajpur Uprhar,25.611702,81.612339,956,559,2,30.0,1840,20000,5000,0,28.4755,3.8708,1,1,0.2327,31.447,2236.0,0.4275,32.2322,LOW,SAFE,MEDIUM
160748,Khandrauli,25.625632,81.672228,1030,261,2,24.0,1870,10000,20000,0,47.2659,7.2706,4,2,8.7747,63.5803,3248.0,0.3171,40.8869,MEDIUM,SAFE,MEDIUM
160748,Khandrauli,25.625632,81.672228,1030,261,2,24.0,1870,10000,20000,0,112.8138,2.597,0,2,9.9051,33.8773,3248.0,0.3171,23.7376,LOW,SAFE,LOW
160748,Khandrauli,25.625632,81.672228,1030,261,2,24.0,1870,10000,20000,0,310.5652,4.0672,5,4,2.386,85.8583,3248.0,0.3171,50.8855,CRITICAL,SAFE,MEDIUM
160748,Khandrauli,25.625632,81.672228,1030,261,2,24.0,1870,10000,20000,0,95.2945,4.3996,0,5,4.9656,47.1998,3248.0,0.3171,31.9653,LOW,SAFE,MEDIUM
160748,Khandrauli,25.625632,81.672228,1030,261,2,24.0,1870,10000,20000,0,39.994,1.4814,4,0,8.4714,39.4698,3248.0,0.3171,26.9044,LOW,SAFE,LOW
160749,Jagdishpur Purabnara,25.619166,81.669872,568,259,2,23.0,1030,10000,20000,0,270.708,5.3427,1,4,0.917,71.8194,2912.0,0.1951,50.477,HIGH,SAFE,MEDIUM
160749,Jagdishpur Purabnara,25.619166,81.669872,568,259,2,23.0,1030,10000,20000,0,85.0912,9.5158,0,4,9.3093,73.397,2912.0,0.1951,47.9902,HIGH,SAFE,MEDIUM
160749,Jagdishpur Purabnara,25.619166,81.669872,568,259,2,23.0,1030,10000,20000,0,387.4608,7.1923,1,3,8.6687,81.4988,2912.0,0.1951,52.4075,CRITICAL,SAFE,MEDIUM
160749,Jagdishpur Purabnara,25.619166,81.669872,568,259,2,23.0,1030,10000,20000,0,89.0306,4.5699,2,1,1.466,35.3762,2912.0,0.1951,26.8443,LOW,SAFE,LOW
160749,Jagdishpur Purabnara,25.619166,81.669872,568,259,2,23.0,1030,10000,20000,0,232.5222,8.7682,5,3,2.3669,84.5071,2912.0,0.1951,50.9635,CRITICAL,SAFE,MEDIUM
160750,Kutubuddinpur,25.611681,81.668187,478,310,2,22.0,830,10000,5000,0,140.0873,7.3736,2,4,3.7799,68.127,1332.0,0.3589,50.2083,HIGH,SAFE,MEDIUM
160750,Kutubuddinpur,25.611681,81.668187,478,310,2,22.0,830,10000,5000,0,132.101,4.9101,4,4,4.052,81.3111,1332.0,0.3589,54.469,CRITICAL,SAFE,MEDIUM
160750,Kutubuddinpur,25.611681,81.668187,478,310,2,22.0,830,10000,5000,0,306.8779,8.4051,0,2,5.8337,70.3954,1332.0,0.3589,48.3384,HIGH,SAFE,MEDIUM
160750,Kutubuddinpur,25.611681,81.668187,478,310,2,22.0,830,10000,5000,0,114.2848,8.8174,5,4,9.6322,91.9055,1332.0,0.3589,58.7246,CRITICAL,SAFE,MEDIUM
160750,Kutubuddinpur,25.611681,81.668187,478,310,2,22.0,830,10000,5000,0,29.5186,5.9847,3,0,5.231,52.3895,1332.0,0.3589,40.658,LOW,SAFE,MEDIUM
160752,Bhagawtipur,25.610526,81.658763,2035,609,2,21.0,3230,30000,20000,0,181.8164,6.648,5,2,9.0116,82.7883,4792.0,0.4247,45.7789,CRITICAL,SAFE,MEDIUM
160752,Bhagawtipur,25.610526,81.658763,2035,609,2,21.0,3230,30000,20000,0,110.9525,2.6931,1,1,2.2939,29.8939,4792.0,0.4247,20.3531,LOW,SAFE,LOW
160752,Bhagawtipur,25.610526,81.658763,2035,609,2,21.0,3230,30000,20000,0,103.9799,5.0792,0,0,3.0953,31.4228,4792.0,0.4247,27.0901,LOW,SAFE,LOW
160752,Bhagawtipur,25.610526,81.658763,2035,609,2,21.0,3230,30000,20000,0,65.0468,9.1983,4,5,9.498,84.8263,4792.0,0.4247,56.5706,CRITICAL,SAFE,MEDIUM
160752,Bhagawtipur,25.610526,81.658763,2035,609,2,21.0,3230,30000,20000,0,167.2972,9.3946,1,2,0.4522,53.5794,4792.0,0.4247,33.5337,MEDIUM,SAFE,MEDIUM
160753,Singraur Uprhar,25.599531,81.661951,5928,2727,2,25.0,9760,20000,20000,0,324.2213,9.8855,0,2,5.9413,73.093,6904.0,0.8586,50.4499,HIGH,STRESSED,MEDIUM
160753,Singraur Uprhar,25.599531,81.661951,5928,2727,2,25.0,9760,20000,20000,0,336.8476,8.545,1,0,4.1482,61.7676,6904.0,0.8586,43.5643,MEDIUM,STRESSED,MEDIUM
160753,Singraur Uprhar,25.599531,81.661951,5928,2727,2,25.0,9760,20000,20000,0,345.889,8.3161,4,5,9.1317,100.0,6904.0,0.8586,67.0727,CRITICAL,STRESSED,HIGH
160753,Singraur Uprhar,25.599531,81.661951,5928,2727,2,25.0,9760,20000,20000,0,302.8325,4.4007,4,5,2.0505,82.8705,6904.0,0.8586,53.8387,CRITICAL,STRESSED,MEDIUM
160753,Singraur Uprhar,25.599531,81.661951,5928,2727,2,25.0,9760,20000,20000,0,82.8911,8.904,1,3,2.6867,57.4054,6904.0,0.8586,43.3424,MEDIUM,STRESSED,MEDIUM
160754,Meerjahapur,25.603513,81.64101,208,22,2,30.0,390,20000,5000,0,190.4843,8.4823,1,3,8.1639,65.1851,1656.0,0.1256,40.9838,HIGH,SAFE,MEDIUM
160754,Meerjahapur,25.603513,81.64101,208,22,2,30.0,390,20000,5000,0,192.0184,4.7848,4,4,6.3936,72.2925,1656.0,0.1256,40.5067,HIGH,SAFE,MEDIUM
160754,Meerjahapur,25.603513,81.64101,208,22,2,30.0,390,20000,5000,0,243.2351,6.7298,2,2,9.0416,64.6597,1656.0,0.1256,29.4543,HIGH,SAFE,LOW
160754,Meerjahapur,25.603513,81.64101,208,22,2,30.0,390,20000,5000,0,313.4612,4.5689,1,2,6.9764,57.9605,1656.0,0.1256,37.0299,MEDIUM,SAFE,MEDIUM
160754,Meerjahapur,25.603513,81.64101,208,22,2,30.0,390,20000,5000,0,336.8366,7.9203,3,4,9.8003,79.7492,1656.0,0.1256,43.925,CRITICAL,SAFE,MEDIUM
160757,Baripur Ramnager Uprhar,25.585027,81.665347,2883,774,2,24.0,4670,10000,20000,0,253.3603,3.1613,2,0,4.6012,38.6387,4368.0,0.66,34.1328,LOW,SAFE,MEDIUM
160757,Baripur Ramnager Uprhar,25.585027,81.665347,2883,774,2,24.0,4670,10000,20000,0,279.067,2.6206,3,0,8.9679,63.1289,4368.0,0.66,39.5628,MEDIUM,SAFE,MEDIUM
160757,Baripur Ramnager Uprhar,25.585027,81.665347,2883,774,2,24.0,4670,10000,20000,0,68.9279,2.7306,2,4,1.6894,44.8276,4368.0,0.66,33.7036,LOW,SAFE,MEDIUM
160757,Baripur Ramnager Uprhar,25.585027,81.665347,2883,774,2,24.0,4670,10000,20000,0,35.481,2.0857,0,3,2.0633,31.8952,4368.0,0.66,22.4528,LOW,SAFE,LOW
160757,Baripur Ramnager Uprhar,25.585027,81.665347,2883,774,2,24.0,4670,10000,20000,0,276.1579,1.3538,0,0,6.8778,33.1625,4368.0,0.66,28.1368,LOW,SAFE,LOW
160759,Saraidadan Uprhar,25.574504,81.666956,2175,1126,2,25.0,3360,10000,5000,0,150.9144,1.0234,3,0,0.8452,39.777,2344.0,0.9279,35.7735,LOW,STRESSED,MEDIUM
160759,Saraidadan Uprhar,25.574504,81.666956,2175,1126,2,25.0,3360,10000,5000,0,214.6363,9.3164,5,1,7.5996,87.307,2344.0,0.9279,58.1246,CRITICAL,STRESSED,MEDIUM
160759,Saraidadan Uprhar,25.574504,81.666956,2175,1126,2,25.0,3360,10000,5000,0,24.9365,2.3297,2,2,8.9521,58.6512,2344.0,0.9279,50.6017,MEDIUM,STRESSED,MEDIUM
160759,Saraidadan Uprhar,25.574504,81.666956,2175,1126,2,25.0,3360,10000,5000,0,42.8688,5.0267,2,2,2.4247,43.5219,2344.0,0.9279,35.2927,LOW,STRESSED,MEDIUM
160759,Saraidadan Uprhar,25.574504,81.666956,2175,1126,2,25.0,3360,10000,5000,0,8.0285,3.8987,5,1,5.3534,48.7967,2344.0,0.9279,37.8218,LOW,STRESSED,MEDIUM
160760,Ganipur,25.546137,81.652006,1530,578,2,26.0,2840,40000,5000,0,189.588,4.1959,0,4,4.7958,63.8136,3636.0,0.4208,44.8659,MEDIUM,SAFE,MEDIUM
160760,Ganipur,25.546137,81.652006,1530,578,2,26.0,2840,40000,5000,0,223.0969,6.2788,3,2,3.7877,68.079,3636.0,0.4208,41.785,HIGH,SAFE,MEDIUM
160760,Ganipur,25.546137,81.652006,1530,578,2,26.0,2840,40000,5000,0,243.0221,3.1992,2,4,3.3035,63.6157,3636.0,0.4208,38.9702,MEDIUM,SAFE,MEDIUM
160760,Ganipur,25.546137,81.652006,1530,578,2,26.0,2840,40000,5000,0,195.1239,8.6574,5,5,8.0586,95.8591,3636.0,0.4208,60.5565,CRITICAL,SAFE,HIGH
160760,Ganipur,25.546137,81.652006,1530,578,2,26.0,2840,40000,5000,0,366.9582,1.0477,5,0,4.9075,67.9437,3636.0,0.4208,42.5792,HIGH,SAFE,MEDIUM
160761,Mansurabad,25.595933,81.681834,3386,1139,2,22.0,5240,10000,20000,0,287.3829,5.8153,1,2,8.3858,60.8591,4596.0,0.7367,44.969,MEDIUM,SAFE,MEDIUM
160761,Mansurabad,25.595933,81.681834,3386,1139,2,22.0,5240,10000,20000,0,294.4989,5.7686,0,1,7.6778,55.2818,4596.0,0.7367,37.0181,MEDIUM,SAFE,MEDIUM
160761,Mansurabad,25.595933,81.681834,3386,1139,2,22.0,5240,10000,20000,0,372.8057,3.8858,2,0,3.6923,64.6202,4596.0,0.7367,35.5494,HIGH,SAFE,MEDIUM
160761,Mansurabad,25.595933,81.681834,3386,1139,2,22.0,5240,10000,20000,0,219.5688,2.8156,1,3,2.5464,56.9982,4596.0,0.7367,43.3639,MEDIUM,SAFE,MEDIUM
160761,Mansurabad,25.595933,81.681834,3386,1139,2,22.0,5240,10000,20000,0,238.2555,5.2442,2,5,1.067,73.1583,4596.0,0.7367,51.0745,HIGH,SAFE,MEDIUM
160762,Mohiuddinpur,25.590997,81.677777,1267,487,2,23.0,2140,10000,20000,0,163.4073,9.3964,2,0,2.05,53.7583,3356.0,0.3775,33.2891,MEDIUM,SAFE,MEDIUM
160762,Mohiuddinpur,25.590997,81.677777,1267,487,2,23.0,2140,10000,20000,0,288.6386,1.4329,4,2,7.9527,66.5033,3356.0,0.3775,41.1327,HIGH,SAFE,MEDIUM
160762,Mohiuddinpur,25.590997,81.677777,1267,487,2,23.0,2140,10000,20000,0,65.7063,8.3312,2,5,5.2307,73.2929,3356.0,0.3775,46.4877,HIGH,SAFE,MEDIUM
160762,Mohiuddinpur,25.590997,81.677777,1267,487,2,23.0,2140,10000,20000,0,156.978,8.3494,5,2,6.241,65.3952,3356.0,0.3775,46.0917,HIGH,SAFE,MEDIUM
160762,Mohiuddinpur,25.590997,81.677777,1267,487,2,23.0,2140,10000,20000,0,230.9945,4.1983,1,5,0.6662,66.3428,3356.0,0.3775,38.9532,HIGH,SAFE,MEDIUM
160763,Mendara,25.58159,81.680659,4960,2196,2,18.0,8090,20000,20000,0,172.6113,3.9953,2,1,1.3927,48.0216,6236.0,0.7954,40.6937,LOW,SAFE,MEDIUM
160763,Mendara,25.58159,81.680659,4960,2196,2,18.0,8090,20000,20000,0,213.3844,9.045,3,4,1.5167,73.8999,6236.0,0.7954,47.8831,HIGH,SAFE,MEDIUM
160763,Mendara,25.58159,81.680659,4960,2196,2,18.0,8090,20000,20000,0,297.5785,1.3018,5,1,7.6246,66.8113,6236.0,0.7954,48.513,HIGH,SAFE,MEDIUM
160763,Mendara,25.58159,81.680659,4960,2196,2,18.0,8090,20000,20000,0,328.5029,1.9957,3,4,1.2749,77.7067,6236.0,0.7954,50.4624,CRITICAL,SAFE,MEDIUM
160763,Mendara,25.58159,81.680659,4960,2196,2,18.0,8090,20000,20000,0,59.967,3.0633,3,4,7.2004,66.0229,6236.0,0.7954,51.63,HIGH,SAFE,MEDIUM
160764,Munourpur,25.583592,81.696424,1305,402,1,15.0,1910,20000,20000,0,217.0898,3.2662,4,3,1.816,66.9734,3764.0,0.3467,42.8378,HIGH,SAFE,MEDIUM
160764,Munourpur,25.583592,81.696424,1305,402,1,15.0,1910,20000,20000,0,160.3406,5.1581,5,2,1.5335,65.2582,3764.0,0.3467,46.5051,HIGH,SAFE,MEDIUM
160764,Munourpur,25.583592,81.696424,1305,402,1,15.0,1910,20000,20000,0,244.5817,1.163,3,2,9.3212,69.7804,3764.0,0.3467,44.101,HIGH,SAFE,MEDIUM
160764,Munourpur,25.583592,81.696424,1305,402,1,15.0,1910,20000,20000,0,368.9998,7.3651,1,0,5.7629,57.4633,3764.0,0.3467,40.1743,MEDIUM,SAFE,MEDIUM
160764,Munourpur,25.583592,81.696424,1305,402,1,15.0,1910,20000,20000,0,294.5777,9.4093,5,2,4.5084,96.236,3764.0,0.3467,53.2811,CRITICAL,SAFE,MEDIUM
160765,Ebrahimpurtaluka Mendara,25.584938,81.703757,1354,404,2,15.0,1970,20000,20000,0,159.6011,1.4929,0,1,8.0285,38.8608,3788.0,0.3574,21.1393,LOW,SAFE,LOW
160765,Ebrahimpurtaluka Mendara,25.584938,81.703757,1354,404,2,15.0,1970,20000,20000,0,367.9422,4.1171,1,2,7.375,58.6614,3788.0,0.3574,36.0762,MEDIUM,SAFE,MEDIUM
160765,Ebrahimpurtaluka Mendara,25.584938,81.703757,1354,404,2,15.0,1970,20000,20000,0,180.9758,2.2677,0,3,4.1893,43.8416,3788.0,0.3574,33.2227,LOW,SAFE,MEDIUM
160765,Ebrahimpurtaluka Mendara,25.584938,81.703757,1354,404,2,15.0,1970,20000,20000,0,232.2353,6.6904,3,1,6.6354,60.8257,3788.0,0.3574,33.2196,MEDIUM,SAFE,MEDIUM
160765,Ebrahimpurtaluka Mendara,25.584938,81.703757,1354,404,2,15.0,1970,20000,20000,0,34.1399,9.9719,0,0,3.0994,27.6203,3788.0,0.3574,15.6393,LOW,SAFE,LOW
160766,Pure Nanku,25.581221,81.704799,473,116,2,17.0,850,10000,20000,0,319.9128,4.1445,5,4,6.2498,89.4815,2840.0,0.1665,47.2154,CRITICAL,SAFE,MEDIUM
160766,Pure Nanku,25.581221,81.704799,473,116,2,17.0,850,10000,20000,0,234.9814,3.6464,2,1,5.2439,41.4517,2840.0,0.1665,22.2139,LOW,SAFE,LOW
160766,Pure Nanku,25.581221,81.704799,473,116,2,17.0,850,10000,20000,0,223.8561,2.3972,0,4,0.755,45.6288,2840.0,0.1665,32.2493,LOW,SAFE,MEDIUM
160766,Pure Nanku,25.581221,81.704799,473,116,2,17.0,850,10000,20000,0,358.9722,5.7392,0,3,8.3979,67.3768,2840.0,0.1665,42.1672,HIGH,SAFE,MEDIUM
160766,Pure Nanku,25.581221,81.704799,473,116,2,17.0,850,10000,20000,0,220.689,3.285,2,4,5.9505,66.9273,2840.0,0.1665,33.6606,HIGH,SAFE,MEDIUM
160767,Belha,25.577291,81.697396,1252,330,1,15.0,2220,20000,20000,0,354.9842,6.0105,1,2,2.4317,67.6919,3888.0,0.322,40.1913,HIGH,SAFE,MEDIUM
160767,Belha,25.577291,81.697396,1252,330,1,15.0,2220,20000,20000,0,332.0879,4.5747,4,5,2.0498,89.2497,3888.0,0.322,49.4575,CRITICAL,SAFE,MEDIUM
160767,Belha,25.577291,81.697396,1252,330,1,15.0,2220,20000,20000,0,5.2008,1.7696,4,2,1.2278,42.2498,3888.0,0.322,30.9907,LOW,SAFE,MEDIUM
160767,Belha,25.577291,81.697396,1252,330,1,15.0,2220,20000,20000,0,281.5785,9.1956,4,3,3.3587,81.8058,3888.0,0.322,49.0014,CRITICAL,SAFE,MEDIUM
160767,Belha,25.577291,81.697396,1252,330,1,15.0,2220,20000,20000,0,13.6912,8.4759,4,5,7.7383,80.2874,3888.0,0.322,47.1404,CRITICAL,SAFE,MEDIUM
160768,Pure Udhou,25.578138,81.692415,347,103,1,15.0,660,20000,20000,0,87.8042,9.7709,3,0,8.6847,61.1357,3264.0,0.1063,34.0482,MEDIUM,SAFE,MEDIUM
160768,Pure Udhou,25.578138,81.692415,347,103,1,15.0,660,20000,20000,0,319.9421,4.8269,2,0,2.6868,63.3938,3264.0,0.1063,35.5616,MEDIUM,SAFE,MEDIUM
