village_code,village_name,population,households,children_0_6,sc_population,st_population,area_hectares,population_density,children_ratio,sc_ratio,st_ratio,chc,phc,sub_health_centre,allopathic_hospital,dispensary,treated_tap_water,hand_pump,tube_well,river_canal,pond_lake,closed_drainage,no_drainage,national_highway,state_highway,major_district_road,black_topped_road,all_weather_road,footpath,mobile_coverage,internet_csc,pds_shop,anganwadi,asha,subdistrict_hq_distance_km,district_hq_distance_km,nearest_town_distance_km,vulnerability_score_100,vulnerability_category
160740,Chak Ragubir Pathak,254,41,35,159,0,13.71,18.52662290299052,0.1377952755905512,0.6259842519685039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,28.0,39.0,39.0,46.358922437798526,Medium
160741,Kasimpur Jharha,311,50,44,30,0,22.63,13.742819266460453,0.1414790996784566,0.0964630225080385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,25.0,40.0,40.0,33.62512233916566,Medium
160742,Patana Uparhar,1168,201,216,458,0,132.41,8.8210860206933,0.184931506849315,0.3921232876712329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,30.0,39.0,39.0,46.2046155790004,Medium
160743,Syampur,280,55,32,20,0,38.42,7.287870900572618,0.1142857142857142,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,39.0,39.0,42.418722841908426,Medium
160744,Akhayrajpur Uprhar,956,184,187,372,0,72.5,13.186206896551724,0.1956066945606694,0.3891213389121339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,40.0,46.6893540219343,Medium
160745,Akhayrajpur Kachhar,0,0,0,0,0,45.73,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,40.0,40.0,45.0,Medium
160746,Patana Kachhar,0,0,0,0,0,30.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,42.0,42.0,45.0,Medium
160747,Meerjahapur Kachhar,0,0,0,0,0,11.74,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,40.0,40.0,45.0,Medium
160748,Khandrauli,1030,187,116,145,0,61.04,16.874180865006554,0.1126213592233009,0.1407766990291262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,24.0,37.0,37.0,36.443052558770965,Medium
160749,Jagdishpur Purabnara,568,103,90,169,0,48.74,11.65367254821502,0.1584507042253521,0.2975352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,23.0,36.0,36.0,38.38705962116109,Medium
160750,Kutubuddinpur,478,83,72,238,0,33.63,14.213499851323222,0.1506276150627615,0.497907949790795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,22.0,35.0,35.0,39.25949002507807,Medium
160751,Chak Motvi Vaker,0,0,0,0,0,38.18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,34.0,34.0,45.0,Medium
160752,Bhagawtipur,2035,323,246,363,0,93.81,21.692783285364037,0.1208845208845208,0.1783783783783784,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,21.0,34.0,34.0,38.74376206229297,Medium
160753,Singraur Uprhar,5928,976,874,1853,0,615.68,9.62837837837838,0.1474358974358974,0.3125843454790823,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25.0,32.0,32.0,44.7152482226762,Medium
160754,Meerjahapur,208,39,22,0,0,85.63,2.429055237650356,0.1057692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,39.0,39.0,41.60629233165762,Medium
160755,Singraur Kachhar,0,0,0,0,0,28.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,32.0,32.0,45.0,Medium
160756,Buripur Ramnager Kachhar,0,0,0,0,0,68.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,32.5,32.5,45.0,Medium
160757,Baripur Ramnager Uprhar,2883,467,460,314,0,159.51,18.074101937182625,0.1595560180367672,0.1089143253555324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,24.0,32.0,32.0,37.741120875298165,Medium
160758,Saraidadan Kachhar,0,0,0,0,0,184.28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,33.5,33.5,45.0,Medium
160759,Saraidadan Uprhar,2175,336,319,807,0,145.06,14.993795670756928,0.1466666666666666,0.3710344827586206,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,25.0,33.0,33.0,36.038379784935,Medium
160760,Ganipur,1530,284,276,302,0,460.46,3.32276419232941,0.1803921568627451,0.1973856209150326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,38.0,38.0,39.0353239491584,Medium
160761,Mansurabad,3386,524,553,586,0,43.02,78.70757787075779,0.1633195510927348,0.1730655640874187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,30.0,30.0,35.668014713764826,Medium
160762,Mohiuddinpur,1267,214,196,291,0,123.05,10.296627387240958,0.154696132596685,0.2296764009471192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,23.0,31.0,31.0,35.37932710141142,Medium
160763,Mendara,4960,809,719,1477,0,299.0,16.588628762541806,0.1449596774193548,0.2977822580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,18.0,23.0,23.0,49.85315474352595,Medium
160764,Munourpur,1305,191,164,238,0,71.0,18.380281690140844,0.1256704980842911,0.182375478927203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,20.0,20.0,53.77111773746576,Medium
160765,Ebrahimpurtaluka Mendara,1354,197,219,185,0,42.96,31.517690875232773,0.1617429837518463,0.1366322008862629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,20.0,20.0,50.164782526195495,Medium
160766,Pure Nanku,473,85,81,35,0,79.1,5.979772439949431,0.1712473572938689,0.0739957716701902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,17.0,30.0,30.0,44.919952822101415,Medium
160767,Belha,1252,222,175,155,0,112.6,11.119005328596804,0.139776357827476,0.1238019169329073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,20.0,20.0,53.60284405697132,Medium
160768,Pure Udhou,347,66,36,67,0,14.57,23.816060398078243,0.1037463976945245,0.1930835734870317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,20.0,20.0,53.39045290599936,Medium
160769,Sivrajpur,0,0,0,0,0,5.26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,21.0,21.0,45.0,Medium
160770,Chaksaha Majhar Ali,0,0,0,0,0,8.32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,20.0,20.0,45.0,Medium
160771,Mohrub,1768,300,274,840,0,154.36,11.453744493392067,0.1549773755656108,0.4751131221719457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,21.0,35.0,35.0,44.16252832992599,Medium
160772,Bhitipattibisniurf Bhagawanpur,382,72,64,22,0,44.85,8.517279821627648,0.1675392670157068,0.0575916230366492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,25.0,25.0,25.0,39.8310309678111,Medium
160773,Goshpur,372,75,55,184,0,20.54,18.111002921129504,0.1478494623655914,0.4946236559139785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,25.0,25.0,25.0,41.819988216143685,Medium
160774,Bhitipatti Rajai,1325,251,201,337,0,55.57,23.843800611840923,0.1516981132075471,0.2543396226415094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,20.0,34.0,34.0,38.46975862036421,Medium
160775,Chandpur,259,51,44,239,0,17.81,14.54239191465469,0.1698841698841698,0.9227799227799228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,25.0,25.0,25.0,41.97507048476341,Medium
160776,Gariyava,586,93,83,0,0,13.82,42.40231548480463,0.1416382252559727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,25.0,25.0,25.0,47.65938483444378,Medium
160777,Abdullapur,837,141,111,301,0,45.18,18.52589641434263,0.1326164874551971,0.3596176821983273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,25.0,25.0,25.0,35.70502940520937,Medium
160778,Fatehpur Kayasthan,1509,287,252,713,0,82.07,18.386743024247597,0.1669980119284294,0.4724983432736911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,25.0,25.0,25.0,37.295156496115645,Medium
160779,Ganeshpur,353,79,72,306,0,33.51,10.534168904804536,0.2039660056657223,0.8668555240793201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,25.0,25.0,25.0,40.05308655022633,Medium
160780,Samhai,4904,830,748,1958,0,350.83,13.97828007867058,0.1525285481239804,0.3992659053833605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,22.0,22.0,22.0,36.31363562329915,Medium
160781,Phulpur Urf Jagapur,1316,229,168,154,0,102.51,12.837771924690273,0.1276595744680851,0.1170212765957446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,25.0,40.0,25.0,38.27611255851837,Medium
160782,Aladadpur,1050,165,149,300,0,69.74,15.055921995985088,0.1419047619047619,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,38.0,23.0,37.97147627405676,Medium
160783,Sarai Padmauat,687,117,88,158,0,43.94,15.634956759217117,0.1280931586608442,0.229985443959243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,38.0,23.0,42.30229371625443,Medium
160784,Pipraund,1094,170,161,320,0,71.46,15.309263923873496,0.1471663619744058,0.2925045703839122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,38.0,23.0,53.17369304905153,Medium
160785,Marufpur,1535,294,219,651,0,120.62,12.72591610014923,0.1426710097719869,0.4241042345276873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,25.0,35.0,35.0,50.25727092692496,Medium
160786,Anapur,3778,589,514,453,0,244.62,15.444362684980788,0.1360508205399682,0.1199047114875595,0.0,,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,20.0,35.0,20.0,30.31611606832212,Low
160787,Pannupur,1685,292,290,544,0,139.07,12.116200474581149,0.172106824925816,0.3228486646884273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0,35.0,12.0,50.60899619553383,Medium
160788,Korari,2212,341,305,411,0,142.01,15.57636786141821,0.137884267631103,0.1858047016274864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,21.0,35.0,21.0,54.03938078120076,Medium
160789,Nasirpur Dargahi,1911,393,229,701,0,144.23,13.249670664910214,0.1198325484039769,0.3668236525379382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,25.0,35.0,25.0,45.14058415118571,Medium
160790,Sarairah Urf Korari,2009,330,281,738,0,110.15,18.23876532001816,0.1398705823792931,0.3673469387755102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,21.0,35.0,21.0,50.11615845180884,Medium
160791,Lai,2869,485,499,930,0,246.22,11.652180976362605,0.1739281979783896,0.3241547577553154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,20.0,38.0,20.0,40.65108749983805,Medium
160792,Raghubanshpur Urf Rerua,2453,400,410,869,0,122.11,20.088444844812056,0.1671422747655931,0.3542600896860987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,16.0,29.0,16.0,46.77826661848739,Medium
160793,Parathpur Bhagdeora,1344,239,208,654,0,19.69,68.25799898425596,0.1547619047619047,0.4866071428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,20.0,35.0,20.0,53.21597610917088,Medium
160794,Jamua Urf Bhawanipur,1418,224,166,165,0,21.82,64.98625114573785,0.1170662905500705,0.116361071932299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,20.0,30.0,20.0,40.09934396775914,Medium
160795,Kutha,2419,445,347,394,0,175.75,13.763869132290186,0.1434477056634973,0.1628772219925589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,18.0,28.0,18.0,49.01711708076319,Medium
160796,Muzaffarpur Urf Bichhia,939,154,139,172,0,78.22,12.00460240347737,0.1480298189563365,0.1831735889243876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,14.5,25.0,14.5,54.183721756008666,Medium
160797,Ulda,4681,824,692,1010,0,377.42,12.402628371575434,0.1478316599017304,0.2157658619953001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,15.0,28.0,15.0,45.19043840007648,Medium
160798,Malak Balau,2688,456,348,656,0,224.02,11.998928667083296,0.1294642857142857,0.244047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,14.0,25.0,14.0,48.93089260690204,Medium
160799,Pure Ghasi,1037,158,197,123,0,14.11,73.49397590361446,0.1899710703953712,0.1186113789778206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,38.0,26.0,44.31424083894061,Medium
160800,Pure Shobhai,542,81,84,35,0,13.25,40.905660377358494,0.1549815498154981,0.0645756457564575,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,26.0,30.0,26.0,39.15435409191927,Medium
160801,Bhikhpur Urf Bhikharipur,1138,194,174,509,0,107.7,10.566388115134632,0.1528998242530755,0.4472759226713532,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,52.25786127910101,Medium
160802,Sahjadpur,370,63,56,9,0,70.0,5.285714285714286,0.1513513513513513,0.0243243243243243,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,49.87950926231805,Medium
160803,Peer Dallu,1420,230,221,339,0,233.7,6.076166024818143,0.1556338028169014,0.2387323943661971,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,51.11252631198452,Medium
160804,Husenpur,603,95,77,54,0,65.56,9.197681513117754,0.1276948590381426,0.0895522388059701,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,49.65681306882914,Medium
160805,Amrich Lalpur,710,112,113,139,0,84.43,8.409333175411582,0.1591549295774648,0.1957746478873239,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,30.0,26.0,43.59931056620498,Medium
160806,Yusufpur,0,0,0,0,0,97.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,24.0,7.0,45.0,Medium
160807,Sultanpur,969,170,96,171,0,48.54,19.96291718170581,0.0990712074303405,0.1764705882352941,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,49.67535876194268,Medium
160808,Singhapur,1534,229,210,263,0,41.54,36.92826191622533,0.1368970013037809,0.1714471968709257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,22.0,32.0,22.0,34.81595920785605,Medium
160809,Dadanpur,1850,295,204,253,0,163.14,11.339953414245434,0.1102702702702702,0.1367567567567567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,16.0,30.0,16.0,51.12485428648894,Medium
160810,Mubarakpur Kachhar,0,0,0,0,0,641.87,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,30.0,20.0,45.0,Medium
160811,Kallyanpur Kachhar,0,0,0,0,0,119.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,Medium
160812,Jamilabad Kachhar,0,0,0,0,0,76.46,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,Medium
160813,Makhdumpur Kachhar,0,0,0,0,0,56.17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,Medium
160814,Kaodhpur Jhinhar,0,0,0,0,0,491.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,Medium
160815,Mohiuddenpur Kachhar,0,0,0,0,0,456.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,Medium
160816,Mubarakpur Puran Kachar,1805,457,299,146,0,458.49,3.9368361360116895,0.1656509695290858,0.0808864265927977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,20.0,30.0,20.0,33.86917615826875,Medium
160817,Judapur Jhinher Urfbaribojh,2794,493,319,664,0,232.45,12.01978920197892,0.1141732283464567,0.2376521116678597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,25.0,15.0,48.44104112835678,Medium
160818,Arazi Judapur Jhinha,98,17,11,0,0,12.8,7.65625,0.1122448979591836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,25.0,15.0,52.0155031410002,Medium
160819,Saraismail Urf Khagalpur,732,131,91,280,0,58.06,12.607647261453668,0.1243169398907103,0.3825136612021858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,13.0,24.0,13.0,54.49383278213199,Medium
160820,Gopalpur Urf Laludih,1184,184,197,295,0,131.85,8.979901403109595,0.1663851351351351,0.2491554054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,14.0,24.5,14.0,49.939915460564734,Medium
