village_code,village_name,population,households,children_0_6,sc_population,st_population,area_hectares,population_density,children_ratio,sc_ratio,st_ratio,chc,phc,sub_health_centre,allopathic_hospital,dispensary,treated_tap_water,hand_pump,tube_well,river_canal,pond_lake,closed_drainage,no_drainage,national_highway,state_highway,major_district_road,black_topped_road,all_weather_road,footpath,mobile_coverage,internet_csc,pds_shop,anganwadi,asha,subdistrict_hq_distance_km,district_hq_distance_km,nearest_town_distance_km
160740,Chak Ragubir Pathak,254,41,35,159,0,13.71,18.526622902990518,0.1377952755905512,0.6259842519685039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,28.0,39.0,39.0
160741,Kasimpur Jharha,311,50,44,30,0,22.63,13.742819266460451,0.1414790996784566,0.09646302250803858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,25.0,40.0,40.0
160742,Patana Uparhar,1168,201,216,458,0,132.41,8.8210860206933,0.18493150684931506,0.3921232876712329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,30.0,39.0,39.0
160743,Syampur,280,55,32,20,0,38.42,7.287870900572618,0.11428571428571428,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,39.0,39.0
160744,Akhayrajpur Uprhar,956,184,187,372,0,72.5,13.186206896551724,0.19560669456066945,0.3891213389121339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,40.0
160745,Akhayrajpur Kachhar,0,0,0,0,0,45.73,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,40.0,40.0
160746,Patana Kachhar,0,0,0,0,0,30.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,42.0,42.0
160747,Meerjahapur Kachhar,0,0,0,0,0,11.74,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,40.0,40.0
160748,Khandrauli,1030,187,116,145,0,61.04,16.874180865006554,0.11262135922330097,0.1407766990291262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,24.0,37.0,37.0
160749,Jagdishpur Purabnara,568,103,90,169,0,48.74,11.653672548215019,0.15845070422535212,0.2975352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,23.0,36.0,36.0
160750,Kutubuddinpur,478,83,72,238,0,33.63,14.213499851323222,0.1506276150627615,0.497907949790795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,22.0,35.0,35.0
160751,Chak Motvi Vaker,0,0,0,0,0,38.18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,34.0,34.0
160752,Bhagawtipur,2035,323,246,363,0,93.81,21.692783285364033,0.12088452088452088,0.1783783783783784,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,21.0,34.0,34.0
160753,Singraur Uprhar,5928,976,874,1853,0,615.68,9.628378378378379,0.14743589743589744,0.3125843454790823,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25.0,32.0,32.0
160754,Meerjahapur,208,39,22,0,0,85.63,2.4290552376503562,0.10576923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,39.0,39.0
160755,Singraur Kachhar,0,0,0,0,0,28.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,32.0,32.0
160756,Buripur Ramnager Kachhar,0,0,0,0,0,68.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,32.5,32.5
160757,Baripur Ramnager Uprhar,2883,467,460,314,0,159.51,18.074101937182622,0.15955601803676725,0.10891432535553243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,24.0,32.0,32.0
160758,Saraidadan Kachhar,0,0,0,0,0,184.28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,33.5,33.5
160759,Saraidadan Uprhar,2175,336,319,807,0,145.06,14.993795670756928,0.14666666666666667,0.37103448275862067,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,25.0,33.0,33.0
160760,Ganipur,1530,284,276,302,0,460.46,3.32276419232941,0.1803921568627451,0.19738562091503267,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,38.0,38.0
160761,Mansurabad,3386,524,553,586,0,43.02,78.70757787075779,0.1633195510927348,0.17306556408741877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,30.0,30.0
160762,Mohiuddinpur,1267,214,196,291,0,123.05,10.296627387240958,0.15469613259668508,0.2296764009471192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,23.0,31.0,31.0
160763,Mendara,4960,809,719,1477,0,299.0,16.588628762541806,0.14495967741935484,0.29778225806451614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,18.0,23.0,23.0
160764,Munourpur,1305,191,164,238,0,71.0,18.380281690140844,0.12567049808429118,0.18237547892720307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,20.0,20.0
160765,Ebrahimpurtaluka Mendara,1354,197,219,185,0,42.96,31.517690875232773,0.16174298375184637,0.13663220088626293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,20.0,20.0
160766,Pure Nanku,473,85,81,35,0,79.1,5.979772439949431,0.17124735729386892,0.07399577167019028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,17.0,30.0,30.0
160767,Belha,1252,222,175,155,0,112.6,11.119005328596803,0.13977635782747605,0.12380191693290735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,20.0,20.0
160768,Pure Udhou,347,66,36,67,0,14.57,23.816060398078243,0.1037463976945245,0.1930835734870317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,20.0,20.0
160769,Sivrajpur,0,0,0,0,0,5.26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,21.0,21.0
160770,Chaksaha Majhar Ali,0,0,0,0,0,8.32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,20.0,20.0
160771,Mohrub,1768,300,274,840,0,154.36,11.453744493392069,0.15497737556561086,0.4751131221719457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,21.0,35.0,35.0
160772,Bhitipattibisniurf Bhagawanpur,382,72,64,22,0,44.85,8.517279821627648,0.16753926701570682,0.05759162303664921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,25.0,25.0,25.0
160773,Goshpur,372,75,55,184,0,20.54,18.111002921129504,0.1478494623655914,0.4946236559139785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,25.0,25.0,25.0
160774,Bhitipatti Rajai,1325,251,201,337,0,55.57,23.843800611840923,0.15169811320754717,0.25433962264150944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,20.0,34.0,34.0
160775,Chandpur,259,51,44,239,0,17.81,14.54239191465469,0.16988416988416988,0.9227799227799228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,25.0,25.0,25.0
160776,Gariyava,586,93,83,0,0,13.82,42.40231548480463,0.1416382252559727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,25.0,25.0,25.0
160777,Abdullapur,837,141,111,301,0,45.18,18.52589641434263,0.13261648745519714,0.35961768219832735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,25.0,25.0,25.0
160778,Fatehpur Kayasthan,1509,287,252,713,0,82.07,18.386743024247593,0.16699801192842942,0.47249834327369117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,25.0,25.0,25.0
160779,Ganeshpur,353,79,72,306,0,33.51,10.534168904804536,0.20396600566572237,0.8668555240793201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,25.0,25.0,25.0
160780,Samhai,4904,830,748,1958,0,350.83,13.978280078670581,0.15252854812398042,0.39926590538336054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,22.0,22.0,22.0
160781,Phulpur Urf Jagapur,1316,229,168,154,0,102.51,12.837771924690273,0.1276595744680851,0.11702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,25.0,40.0,25.0
160782,Aladadpur,1050,165,149,300,0,69.74,15.055921995985088,0.1419047619047619,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,38.0,23.0
160783,Sarai Padmauat,687,117,88,158,0,43.94,15.634956759217115,0.12809315866084425,0.22998544395924309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,38.0,23.0
160784,Pipraund,1094,170,161,320,0,71.46,15.309263923873496,0.14716636197440586,0.29250457038391225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,38.0,23.0
160785,Marufpur,1535,294,219,651,0,120.62,12.72591610014923,0.14267100977198696,0.4241042345276873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,25.0,35.0,35.0
160786,Anapur,3778,589,514,453,0,244.62,15.444362684980787,0.13605082053996823,0.11990471148755956,0.0,,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,20.0,35.0,20.0
160787,Pannupur,1685,292,290,544,0,139.07,12.116200474581147,0.17210682492581603,0.3228486646884273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0,35.0,12.0
160788,Korari,2212,341,305,411,0,142.01,15.57636786141821,0.13788426763110306,0.18580470162748644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,21.0,35.0,21.0
160789,Nasirpur Dargahi,1911,393,229,701,0,144.23,13.249670664910214,0.11983254840397697,0.36682365253793825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,25.0,35.0,25.0
160790,Sarairah Urf Korari,2009,330,281,738,0,110.15,18.238765320018157,0.13987058237929317,0.3673469387755102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,21.0,35.0,21.0
160791,Lai,2869,485,499,930,0,246.22,11.652180976362603,0.17392819797838968,0.32415475775531544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,20.0,38.0,20.0
160792,Raghubanshpur Urf Rerua,2453,400,410,869,0,122.11,20.088444844812056,0.16714227476559315,0.3542600896860987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,16.0,29.0,16.0
160793,Parathpur Bhagdeora,1344,239,208,654,0,19.69,68.25799898425596,0.15476190476190477,0.48660714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,20.0,35.0,20.0
160794,Jamua Urf Bhawanipur,1418,224,166,165,0,21.82,64.98625114573785,0.11706629055007052,0.11636107193229901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,20.0,30.0,20.0
160795,Kutha,2419,445,347,394,0,175.75,13.763869132290186,0.14344770566349732,0.1628772219925589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,18.0,28.0,18.0
160796,Muzaffarpur Urf Bichhia,939,154,139,172,0,78.22,12.00460240347737,0.14802981895633652,0.18317358892438765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,14.5,25.0,14.5
160797,Ulda,4681,824,692,1010,0,377.42,12.402628371575434,0.1478316599017304,0.21576586199530015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,15.0,28.0,15.0
160798,Malak Balau,2688,456,348,656,0,224.02,11.998928667083296,0.12946428571428573,0.24404761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,14.0,25.0,14.0
160799,Pure Ghasi,1037,158,197,123,0,14.11,73.49397590361446,0.18997107039537126,0.11861137897782063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,38.0,26.0
160800,Pure Shobhai,542,81,84,35,0,13.25,40.905660377358494,0.15498154981549817,0.06457564575645756,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,26.0,30.0,26.0
160801,Bhikhpur Urf Bhikharipur,1138,194,174,509,0,107.7,10.566388115134632,0.15289982425307558,0.44727592267135324,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
160802,Sahjadpur,370,63,56,9,0,70.0,5.285714285714286,0.15135135135135136,0.024324324324324326,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
160803,Peer Dallu,1420,230,221,339,0,233.7,6.076166024818143,0.1556338028169014,0.23873239436619717,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
160804,Husenpur,603,95,77,54,0,65.56,9.197681513117754,0.12769485903814262,0.08955223880597014,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
160805,Amrich Lalpur,710,112,113,139,0,84.43,8.409333175411582,0.1591549295774648,0.19577464788732393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,30.0,26.0
160806,Yusufpur,0,0,0,0,0,97.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,24.0,7.0
160807,Sultanpur,969,170,96,171,0,48.54,19.96291718170581,0.09907120743034056,0.17647058823529413,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
160808,Singhapur,1534,229,210,263,0,41.54,36.928261916225324,0.13689700130378096,0.1714471968709257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,22.0,32.0,22.0
160809,Dadanpur,1850,295,204,253,0,163.14,11.339953414245434,0.11027027027027027,0.13675675675675675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,16.0,30.0,16.0
160810,Mubarakpur Kachhar,0,0,0,0,0,641.87,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,30.0,20.0
160811,Kallyanpur Kachhar,0,0,0,0,0,119.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160812,Jamilabad Kachhar,0,0,0,0,0,76.46,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160813,Makhdumpur Kachhar,0,0,0,0,0,56.17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160814,Kaodhpur Jhinhar,0,0,0,0,0,491.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160815,Mohiuddenpur Kachhar,0,0,0,0,0,456.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160816,Mubarakpur Puran Kachar,1805,457,299,146,0,458.49,3.9368361360116904,0.16565096952908587,0.08088642659279778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,20.0,30.0,20.0
160817,Judapur Jhinher Urfbaribojh,2794,493,319,664,0,232.45,12.01978920197892,0.1141732283464567,0.2376521116678597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,25.0,15.0
160818,Arazi Judapur Jhinha,98,17,11,0,0,12.8,7.65625,0.11224489795918367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,25.0,15.0
160819,Saraismail Urf Khagalpur,732,131,91,280,0,58.06,12.607647261453668,0.12431693989071038,0.3825136612021858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,13.0,24.0,13.0
160820,Gopalpur Urf Laludih,1184,184,197,295,0,131.85,8.979901403109595,0.16638513513513514,0.2491554054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,14.0,24.5,14.0
160821,Atrampur Urf Nawabganj,4847,829,651,1073,0,307.95,15.739568111706447,0.13430988240148545,0.22137404580152673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,16.0,21.0,16.0
160822,Sherandazpur,0,0,0,0,0,56.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,30.0,20.0
160823,Ahmadpur,875,134,110,68,0,75.75,11.551155115511552,0.12571428571428572,0.07771428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,18.0,22.0,18.0
160824,Madhopur Chandhan Urfghatampur,2520,412,324,700,0,134.4,18.75,0.12857142857142856,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,16.0,21.0,16.0
160825,Udhopur,59,11,17,0,0,97.77,0.6034570931778664,0.288135593220339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20.0,30.0,20.0
160826,Karimuddinpur,2691,461,418,936,0,131.58,20.45143638850889,0.15533259011519882,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,12.0,25.0,12.0
160827,Shaikhpur Sahab,140,18,18,0,0,39.64,3.5317860746720484,0.12857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,12.0,25.0,12.0
